run_at,model,postprocess,mean_mae,std_mae,submission_path,exp_id,feature_version,pred_std_oof,pred_min_oof,pred_max_oof,notes
2026-06-17T00:57:11,extratrees_ohe,clip_0_1_round2,0.2043866666666666,0.0036240592649066,D:\python\stress\submissions\extratrees_ohe_clip_0_1_round2_20260617_005711.csv,,,,,,
2026-06-17T00:57:11,extratrees_ohe,clip_0_1,0.2043969702314814,0.0036180033429748,D:\python\stress\submissions\extratrees_ohe_clip_0_1_round2_20260617_005711.csv,,,,,,
2026-06-17T00:57:11,extratrees_ohe,raw,0.2043969702314814,0.0036180033429748,D:\python\stress\submissions\extratrees_ohe_clip_0_1_round2_20260617_005711.csv,,,,,,
2026-06-17T00:57:11,lightgbm_ohe,clip_0_1_round2,0.2064,0.0023776155188666,D:\python\stress\submissions\extratrees_ohe_clip_0_1_round2_20260617_005711.csv,,,,,,
2026-06-17T00:57:11,lightgbm_ohe,raw,0.2064246804165211,0.002367566996548,D:\python\stress\submissions\extratrees_ohe_clip_0_1_round2_20260617_005711.csv,,,,,,
2026-06-17T00:57:11,lightgbm_ohe,clip_0_1,0.2064246804165211,0.002367566996548,D:\python\stress\submissions\extratrees_ohe_clip_0_1_round2_20260617_005711.csv,,,,,,
2026-06-17T00:57:11,catboost_ohe,clip_0_1_round2,0.2169433333333333,0.0029674764812322,D:\python\stress\submissions\extratrees_ohe_clip_0_1_round2_20260617_005711.csv,,,,,,
2026-06-17T00:57:11,catboost_ohe,clip_0_1,0.2169464999188802,0.002934715291722,D:\python\stress\submissions\extratrees_ohe_clip_0_1_round2_20260617_005711.csv,,,,,,
2026-06-17T00:57:11,catboost_ohe,raw,0.2169464999188802,0.002934715291722,D:\python\stress\submissions\extratrees_ohe_clip_0_1_round2_20260617_005711.csv,,,,,,
2026-06-17T00:57:11,xgboost_ohe,clip_0_1_round2,0.2257833333333333,0.002808419879972,D:\python\stress\submissions\extratrees_ohe_clip_0_1_round2_20260617_005711.csv,,,,,,
2026-06-17T00:57:11,xgboost_ohe,raw,0.2258443405445417,0.002799336415405,D:\python\stress\submissions\extratrees_ohe_clip_0_1_round2_20260617_005711.csv,,,,,,
2026-06-17T00:57:11,xgboost_ohe,clip_0_1,0.2258443405445417,0.002799336415405,D:\python\stress\submissions\extratrees_ohe_clip_0_1_round2_20260617_005711.csv,,,,,,
