C,gamma,mean_mae,std_mae,diff_vs_best
1.0,1.09,0.13413999999999998,0.007929516666726996,0.0
4.0,1.09,0.13413999999999998,0.007929516666726996,0.0
1.0,1.1,0.13414,0.007929049574854082,2.7755575615628914e-17
4.0,1.1,0.13414,0.007929049574854082,2.7755575615628914e-17
1.0,1.07,0.13415666666666667,0.007956595990314357,1.6666666666692587e-05
4.0,1.07,0.13415666666666667,0.007956595990314357,1.6666666666692587e-05
1.0,1.06,0.13416333333333336,0.007947768535341104,2.3333333333375172e-05
1.0,1.0632,0.13416333333333336,0.00792762711061376,2.3333333333375172e-05
4.0,1.06,0.13416333333333336,0.007947768535341104,2.3333333333375172e-05
4.0,1.0632,0.13416333333333336,0.00792762711061376,2.3333333333375172e-05
1.0,1.08,0.13417,0.00794647914891856,3.0000000000030003e-05
4.0,1.08,0.13417,0.00794647914891856,3.0000000000030003e-05
