model,target_bin,target_min,target_max,mae
v3_extratrees,0,0.0,0.09,0.28297385620915033
v3_extratrees,1,0.1,0.18,0.2242138364779874
v3_extratrees,2,0.19,0.28,0.1600986842105263
v3_extratrees,3,0.29,0.38,0.10551020408163266
v3_extratrees,4,0.39,0.48,0.06739864864864864
v3_extratrees,5,0.49,0.58,0.09228476821192054
v3_extratrees,6,0.59,0.68,0.1271985815602837
v3_extratrees,7,0.69,0.77,0.17511475409836064
v3_extratrees,8,0.78,0.88,0.2276174496644295
v3_extratrees,9,0.89,1.0,0.3290508474576271
rbf_raw,0,0.0,0.09,0.22970588235294115
rbf_raw,1,0.1,0.18,0.18157232704402515
rbf_raw,2,0.19,0.28,0.12595394736842105
rbf_raw,3,0.29,0.38,0.08397959183673469
rbf_raw,4,0.39,0.48,0.03398648648648648
rbf_raw,5,0.49,0.58,0.027649006622516566
rbf_raw,6,0.59,0.68,0.08078014184397164
rbf_raw,7,0.69,0.77,0.14095081967213113
rbf_raw,8,0.78,0.88,0.2065771812080537
rbf_raw,9,0.89,1.0,0.27623728813559323
rbf_quantile,0,0.0,0.09,0.22013071895424838
rbf_quantile,1,0.1,0.18,0.1760691823899371
rbf_quantile,2,0.19,0.28,0.12437500000000001
rbf_quantile,3,0.29,0.38,0.08108843537414966
rbf_quantile,4,0.39,0.48,0.03412162162162161
rbf_quantile,5,0.49,0.58,0.03026490066225167
rbf_quantile,6,0.59,0.68,0.08315602836879434
rbf_quantile,7,0.69,0.77,0.1422295081967213
rbf_quantile,8,0.78,0.88,0.20721476510067113
rbf_quantile,9,0.89,1.0,0.2711864406779661
