exp_id,candidate,feature_set,encoding,fold,mae
v532_20260618_023511,FS8_no_BP_keep_BMI_metabolic__ENC0_v53_current,FS8_no_BP_keep_BMI_metabolic,ENC0_v53_current,1,0.12846666666666667
v532_20260618_023511,FS8_no_BP_keep_BMI_metabolic__ENC0_v53_current,FS8_no_BP_keep_BMI_metabolic,ENC0_v53_current,2,0.12263333333333333
v532_20260618_023511,FS8_no_BP_keep_BMI_metabolic__ENC0_v53_current,FS8_no_BP_keep_BMI_metabolic,ENC0_v53_current,3,0.1371666666666667
v532_20260618_023511,FS8_no_BP_keep_BMI_metabolic__ENC0_v53_current,FS8_no_BP_keep_BMI_metabolic,ENC0_v53_current,4,0.14283333333333334
v532_20260618_023511,FS8_no_BP_keep_BMI_metabolic__ENC0_v53_current,FS8_no_BP_keep_BMI_metabolic,ENC0_v53_current,5,0.1401
v532_20260618_023511,FS8_no_BP_keep_BMI_metabolic__ENC0_v53_current,FS8_no_BP_keep_BMI_metabolic,ENC0_v53_current,6,0.12023333333333333
v532_20260618_023511,FS8_no_BP_keep_BMI_metabolic__ENC0_v53_current,FS8_no_BP_keep_BMI_metabolic,ENC0_v53_current,7,0.13703333333333334
v532_20260618_023511,FS8_no_BP_keep_BMI_metabolic__ENC0_v53_current,FS8_no_BP_keep_BMI_metabolic,ENC0_v53_current,8,0.14153333333333332
v532_20260618_023511,FS8_no_BP_keep_BMI_metabolic__ENC0_v53_current,FS8_no_BP_keep_BMI_metabolic,ENC0_v53_current,9,0.14106666666666667
v532_20260618_023511,FS8_no_BP_keep_BMI_metabolic__ENC0_v53_current,FS8_no_BP_keep_BMI_metabolic,ENC0_v53_current,10,0.1342
v532_20260618_023511,FS8_no_BP_keep_BMI_metabolic__ENC1_all_onehot,FS8_no_BP_keep_BMI_metabolic,ENC1_all_onehot,1,0.12819999999999998
v532_20260618_023511,FS8_no_BP_keep_BMI_metabolic__ENC1_all_onehot,FS8_no_BP_keep_BMI_metabolic,ENC1_all_onehot,2,0.12236666666666667
v532_20260618_023511,FS8_no_BP_keep_BMI_metabolic__ENC1_all_onehot,FS8_no_BP_keep_BMI_metabolic,ENC1_all_onehot,3,0.13633333333333333
v532_20260618_023511,FS8_no_BP_keep_BMI_metabolic__ENC1_all_onehot,FS8_no_BP_keep_BMI_metabolic,ENC1_all_onehot,4,0.14156666666666667
v532_20260618_023511,FS8_no_BP_keep_BMI_metabolic__ENC1_all_onehot,FS8_no_BP_keep_BMI_metabolic,ENC1_all_onehot,5,0.13973333333333335
v532_20260618_023511,FS8_no_BP_keep_BMI_metabolic__ENC1_all_onehot,FS8_no_BP_keep_BMI_metabolic,ENC1_all_onehot,6,0.1202
v532_20260618_023511,FS8_no_BP_keep_BMI_metabolic__ENC1_all_onehot,FS8_no_BP_keep_BMI_metabolic,ENC1_all_onehot,7,0.1371666666666667
v532_20260618_023511,FS8_no_BP_keep_BMI_metabolic__ENC1_all_onehot,FS8_no_BP_keep_BMI_metabolic,ENC1_all_onehot,8,0.14133333333333334
v532_20260618_023511,FS8_no_BP_keep_BMI_metabolic__ENC1_all_onehot,FS8_no_BP_keep_BMI_metabolic,ENC1_all_onehot,9,0.14043333333333333
v532_20260618_023511,FS8_no_BP_keep_BMI_metabolic__ENC1_all_onehot,FS8_no_BP_keep_BMI_metabolic,ENC1_all_onehot,10,0.13470000000000001
v532_20260618_023511,FS8_no_BP_keep_BMI_metabolic__ENC2_clinical_order,FS8_no_BP_keep_BMI_metabolic,ENC2_clinical_order,1,0.12846666666666667
v532_20260618_023511,FS8_no_BP_keep_BMI_metabolic__ENC2_clinical_order,FS8_no_BP_keep_BMI_metabolic,ENC2_clinical_order,2,0.12263333333333333
v532_20260618_023511,FS8_no_BP_keep_BMI_metabolic__ENC2_clinical_order,FS8_no_BP_keep_BMI_metabolic,ENC2_clinical_order,3,0.1371666666666667
v532_20260618_023511,FS8_no_BP_keep_BMI_metabolic__ENC2_clinical_order,FS8_no_BP_keep_BMI_metabolic,ENC2_clinical_order,4,0.14283333333333334
v532_20260618_023511,FS8_no_BP_keep_BMI_metabolic__ENC2_clinical_order,FS8_no_BP_keep_BMI_metabolic,ENC2_clinical_order,5,0.1401
v532_20260618_023511,FS8_no_BP_keep_BMI_metabolic__ENC2_clinical_order,FS8_no_BP_keep_BMI_metabolic,ENC2_clinical_order,6,0.12023333333333333
v532_20260618_023511,FS8_no_BP_keep_BMI_metabolic__ENC2_clinical_order,FS8_no_BP_keep_BMI_metabolic,ENC2_clinical_order,7,0.13703333333333334
v532_20260618_023511,FS8_no_BP_keep_BMI_metabolic__ENC2_clinical_order,FS8_no_BP_keep_BMI_metabolic,ENC2_clinical_order,8,0.14153333333333332
v532_20260618_023511,FS8_no_BP_keep_BMI_metabolic__ENC2_clinical_order,FS8_no_BP_keep_BMI_metabolic,ENC2_clinical_order,9,0.14106666666666667
v532_20260618_023511,FS8_no_BP_keep_BMI_metabolic__ENC2_clinical_order,FS8_no_BP_keep_BMI_metabolic,ENC2_clinical_order,10,0.1342
v532_20260618_023511,FS8_no_BP_keep_BMI_metabolic__ENC3_sleep_revised,FS8_no_BP_keep_BMI_metabolic,ENC3_sleep_revised,1,0.12846666666666667
v532_20260618_023511,FS8_no_BP_keep_BMI_metabolic__ENC3_sleep_revised,FS8_no_BP_keep_BMI_metabolic,ENC3_sleep_revised,2,0.12263333333333333
v532_20260618_023511,FS8_no_BP_keep_BMI_metabolic__ENC3_sleep_revised,FS8_no_BP_keep_BMI_metabolic,ENC3_sleep_revised,3,0.1371666666666667
