exp_id,candidate,feature_set,encoding,fold,mae
v532_20260618_023511,FS0_baseline_S2_all__ENC0_v53_current,FS0_baseline_S2_all,ENC0_v53_current,1,0.12886666666666666
v532_20260618_023511,FS0_baseline_S2_all__ENC0_v53_current,FS0_baseline_S2_all,ENC0_v53_current,2,0.12283333333333334
v532_20260618_023511,FS0_baseline_S2_all__ENC0_v53_current,FS0_baseline_S2_all,ENC0_v53_current,3,0.13823333333333332
v532_20260618_023511,FS0_baseline_S2_all__ENC0_v53_current,FS0_baseline_S2_all,ENC0_v53_current,4,0.14276666666666665
v532_20260618_023511,FS0_baseline_S2_all__ENC0_v53_current,FS0_baseline_S2_all,ENC0_v53_current,5,0.1399
v532_20260618_023511,FS0_baseline_S2_all__ENC0_v53_current,FS0_baseline_S2_all,ENC0_v53_current,6,0.12056666666666667
v532_20260618_023511,FS0_baseline_S2_all__ENC0_v53_current,FS0_baseline_S2_all,ENC0_v53_current,7,0.1374
v532_20260618_023511,FS0_baseline_S2_all__ENC0_v53_current,FS0_baseline_S2_all,ENC0_v53_current,8,0.14196666666666669
v532_20260618_023511,FS0_baseline_S2_all__ENC0_v53_current,FS0_baseline_S2_all,ENC0_v53_current,9,0.1417
v532_20260618_023511,FS0_baseline_S2_all__ENC0_v53_current,FS0_baseline_S2_all,ENC0_v53_current,10,0.13493333333333335
v532_20260618_023511,FS1_raw_plus_BMI_only__ENC0_v53_current,FS1_raw_plus_BMI_only,ENC0_v53_current,1,0.1290333333333333
v532_20260618_023511,FS1_raw_plus_BMI_only__ENC0_v53_current,FS1_raw_plus_BMI_only,ENC0_v53_current,2,0.12376666666666668
v532_20260618_023511,FS1_raw_plus_BMI_only__ENC0_v53_current,FS1_raw_plus_BMI_only,ENC0_v53_current,3,0.137
v532_20260618_023511,FS1_raw_plus_BMI_only__ENC0_v53_current,FS1_raw_plus_BMI_only,ENC0_v53_current,4,0.14383333333333334
v532_20260618_023511,FS1_raw_plus_BMI_only__ENC0_v53_current,FS1_raw_plus_BMI_only,ENC0_v53_current,5,0.14006666666666664
v532_20260618_023511,FS1_raw_plus_BMI_only__ENC0_v53_current,FS1_raw_plus_BMI_only,ENC0_v53_current,6,0.12173333333333332
v532_20260618_023511,FS1_raw_plus_BMI_only__ENC0_v53_current,FS1_raw_plus_BMI_only,ENC0_v53_current,7,0.137
v532_20260618_023511,FS1_raw_plus_BMI_only__ENC0_v53_current,FS1_raw_plus_BMI_only,ENC0_v53_current,8,0.14146666666666666
v532_20260618_023511,FS1_raw_plus_BMI_only__ENC0_v53_current,FS1_raw_plus_BMI_only,ENC0_v53_current,9,0.1418
v532_20260618_023511,FS1_raw_plus_BMI_only__ENC0_v53_current,FS1_raw_plus_BMI_only,ENC0_v53_current,10,0.13423333333333334
v532_20260618_023511,FS2_raw_plus_BMI_BP__ENC0_v53_current,FS2_raw_plus_BMI_BP,ENC0_v53_current,1,0.12910000000000002
v532_20260618_023511,FS2_raw_plus_BMI_BP__ENC0_v53_current,FS2_raw_plus_BMI_BP,ENC0_v53_current,2,0.12363333333333335
v532_20260618_023511,FS2_raw_plus_BMI_BP__ENC0_v53_current,FS2_raw_plus_BMI_BP,ENC0_v53_current,3,0.1380333333333333
v532_20260618_023511,FS2_raw_plus_BMI_BP__ENC0_v53_current,FS2_raw_plus_BMI_BP,ENC0_v53_current,4,0.1438
v532_20260618_023511,FS2_raw_plus_BMI_BP__ENC0_v53_current,FS2_raw_plus_BMI_BP,ENC0_v53_current,5,0.13979999999999998
v532_20260618_023511,FS2_raw_plus_BMI_BP__ENC0_v53_current,FS2_raw_plus_BMI_BP,ENC0_v53_current,6,0.12146666666666665
v532_20260618_023511,FS2_raw_plus_BMI_BP__ENC0_v53_current,FS2_raw_plus_BMI_BP,ENC0_v53_current,7,0.13736666666666666
v532_20260618_023511,FS2_raw_plus_BMI_BP__ENC0_v53_current,FS2_raw_plus_BMI_BP,ENC0_v53_current,8,0.14226666666666665
v532_20260618_023511,FS2_raw_plus_BMI_BP__ENC0_v53_current,FS2_raw_plus_BMI_BP,ENC0_v53_current,9,0.14233333333333334
v532_20260618_023511,FS2_raw_plus_BMI_BP__ENC0_v53_current,FS2_raw_plus_BMI_BP,ENC0_v53_current,10,0.13503333333333334
v532_20260618_023511,FS3_raw_plus_BMI_metabolic_product__ENC0_v53_current,FS3_raw_plus_BMI_metabolic_product,ENC0_v53_current,1,0.12853333333333333
v532_20260618_023511,FS3_raw_plus_BMI_metabolic_product__ENC0_v53_current,FS3_raw_plus_BMI_metabolic_product,ENC0_v53_current,2,0.1232
v532_20260618_023511,FS3_raw_plus_BMI_metabolic_product__ENC0_v53_current,FS3_raw_plus_BMI_metabolic_product,ENC0_v53_current,3,0.1373
v532_20260618_023511,FS3_raw_plus_BMI_metabolic_product__ENC0_v53_current,FS3_raw_plus_BMI_metabolic_product,ENC0_v53_current,4,0.1431
v532_20260618_023511,FS3_raw_plus_BMI_metabolic_product__ENC0_v53_current,FS3_raw_plus_BMI_metabolic_product,ENC0_v53_current,5,0.14016666666666666
v532_20260618_023511,FS3_raw_plus_BMI_metabolic_product__ENC0_v53_current,FS3_raw_plus_BMI_metabolic_product,ENC0_v53_current,6,0.12073333333333333
v532_20260618_023511,FS3_raw_plus_BMI_metabolic_product__ENC0_v53_current,FS3_raw_plus_BMI_metabolic_product,ENC0_v53_current,7,0.13699999999999998
v532_20260618_023511,FS3_raw_plus_BMI_metabolic_product__ENC0_v53_current,FS3_raw_plus_BMI_metabolic_product,ENC0_v53_current,8,0.14173333333333332
v532_20260618_023511,FS3_raw_plus_BMI_metabolic_product__ENC0_v53_current,FS3_raw_plus_BMI_metabolic_product,ENC0_v53_current,9,0.14150000000000001
v532_20260618_023511,FS3_raw_plus_BMI_metabolic_product__ENC0_v53_current,FS3_raw_plus_BMI_metabolic_product,ENC0_v53_current,10,0.1344
v532_20260618_023511,FS4_raw_plus_BMI_metabolic_ratio__ENC0_v53_current,FS4_raw_plus_BMI_metabolic_ratio,ENC0_v53_current,1,0.12883333333333333
