exp_id,strategy,splitter,n_splits,seed,fold,train_size,valid_size,valid_target_mean,valid_target_std,mae
v532_foldcheck_20260618_132050,kfold_5_seed42,kfold,5,42,1,2400,600,0.48299999999999993,0.2812724485569024,0.13473333333333334
v532_foldcheck_20260618_132050,kfold_5_seed42,kfold,5,42,2,2400,600,0.4662833333333333,0.28746433859784776,0.15214999999999998
v532_foldcheck_20260618_132050,kfold_5_seed42,kfold,5,42,3,2400,600,0.4829,0.29038904880540894,0.14780000000000001
v532_foldcheck_20260618_132050,kfold_5_seed42,kfold,5,42,4,2400,600,0.4864166666666667,0.29387854757268,0.1585
v532_foldcheck_20260618_132050,kfold_5_seed42,kfold,5,42,5,2400,600,0.49205000000000004,0.2884278335944481,0.15206666666666663
v532_foldcheck_20260618_132050,kfold_10_seed42,kfold,10,42,1,2700,300,0.47336666666666666,0.27577982873179835,0.12813333333333332
v532_foldcheck_20260618_132050,kfold_10_seed42,kfold,10,42,2,2700,300,0.4926333333333333,0.28679651268425216,0.12229999999999999
v532_foldcheck_20260618_132050,kfold_10_seed42,kfold,10,42,3,2700,300,0.4623,0.2872794369884276,0.13643333333333332
v532_foldcheck_20260618_132050,kfold_10_seed42,kfold,10,42,4,2700,300,0.4702666666666667,0.2880738633139731,0.14186666666666667
v532_foldcheck_20260618_132050,kfold_10_seed42,kfold,10,42,5,2700,300,0.46573333333333333,0.2893941235605753,0.13963333333333333
v532_foldcheck_20260618_132050,kfold_10_seed42,kfold,10,42,6,2700,300,0.5000666666666667,0.2908492849870539,0.1201
v532_foldcheck_20260618_132050,kfold_10_seed42,kfold,10,42,7,2700,300,0.4848666666666666,0.29185541082010474,0.13709999999999997
v532_foldcheck_20260618_132050,kfold_10_seed42,kfold,10,42,8,2700,300,0.4879666666666666,0.2963674144876974,0.1412
v532_foldcheck_20260618_132050,kfold_10_seed42,kfold,10,42,9,2700,300,0.4653666666666667,0.2881706786303848,0.14033333333333334
v532_foldcheck_20260618_132050,kfold_10_seed42,kfold,10,42,10,2700,300,0.5187333333333334,0.2866851177593713,0.1346
v532_foldcheck_20260618_132050,kfold_15_seed42,kfold,15,42,1,2800,200,0.4640000000000001,0.28540194700944826,0.1416
v532_foldcheck_20260618_132050,kfold_15_seed42,kfold,15,42,2,2800,200,0.48255000000000003,0.2679795940254973,0.1161
v532_foldcheck_20260618_132050,kfold_15_seed42,kfold,15,42,3,2800,200,0.5024500000000001,0.29004677754774166,0.11585000000000001
v532_foldcheck_20260618_132050,kfold_15_seed42,kfold,15,42,4,2800,200,0.46525,0.2849877675237851,0.131
v532_foldcheck_20260618_132050,kfold_15_seed42,kfold,15,42,5,2800,200,0.48325,0.2782572063115735,0.12965
v532_foldcheck_20260618_132050,kfold_15_seed42,kfold,15,42,6,2800,200,0.45035,0.29924423647804255,0.13435
v532_foldcheck_20260618_132050,kfold_15_seed42,kfold,15,42,7,2800,200,0.42875,0.286170236961521,0.14485
v532_foldcheck_20260618_132050,kfold_15_seed42,kfold,15,42,8,2800,200,0.52415,0.28265659598934073,0.1398
v532_foldcheck_20260618_132050,kfold_15_seed42,kfold,15,42,9,2800,200,0.49579999999999996,0.2953174937428407,0.1117
v532_foldcheck_20260618_132050,kfold_15_seed42,kfold,15,42,10,2800,200,0.5045000000000001,0.2972110733309793,0.1301
v532_foldcheck_20260618_132050,kfold_15_seed42,kfold,15,42,11,2800,200,0.48519999999999996,0.28740208732539674,0.13585
v532_foldcheck_20260618_132050,kfold_15_seed42,kfold,15,42,12,2800,200,0.46954999999999997,0.2973404686068763,0.14075
v532_foldcheck_20260618_132050,kfold_15_seed42,kfold,15,42,13,2800,200,0.466,0.28710476437816773,0.1358
v532_foldcheck_20260618_132050,kfold_15_seed42,kfold,15,42,14,2800,200,0.50315,0.2962844916629961,0.12785
v532_foldcheck_20260618_132050,kfold_15_seed42,kfold,15,42,15,2800,200,0.507,0.28136065662326953,0.12994999999999998
v532_foldcheck_20260618_132050,kfold_20_seed42,kfold,20,42,1,2850,150,0.4716000000000001,0.27904217765913397,0.13340000000000005
v532_foldcheck_20260618_132050,kfold_20_seed42,kfold,20,42,2,2850,150,0.4751333333333333,0.2734019747935795,0.10786666666666667
v532_foldcheck_20260618_132050,kfold_20_seed42,kfold,20,42,3,2850,150,0.4885333333333333,0.2835971873154666,0.1296
v532_foldcheck_20260618_132050,kfold_20_seed42,kfold,20,42,4,2850,150,0.49673333333333336,0.29085270763592674,0.1052
v532_foldcheck_20260618_132050,kfold_20_seed42,kfold,20,42,5,2850,150,0.4693333333333334,0.2877327867997538,0.12533333333333332
v532_foldcheck_20260618_132050,kfold_20_seed42,kfold,20,42,6,2850,150,0.4552666666666666,0.2876162074258842,0.11773333333333336
v532_foldcheck_20260618_132050,kfold_20_seed42,kfold,20,42,7,2850,150,0.4924666666666667,0.28456003168595134,0.13813333333333333
v532_foldcheck_20260618_132050,kfold_20_seed42,kfold,20,42,8,2850,150,0.4480666666666666,0.2907977840878865,0.12053333333333334
v532_foldcheck_20260618_132050,kfold_20_seed42,kfold,20,42,9,2850,150,0.4139333333333333,0.29004025794779775,0.14880000000000002
v532_foldcheck_20260618_132050,kfold_20_seed42,kfold,20,42,10,2850,150,0.5175333333333333,0.2802394390101682,0.13099999999999998
v532_foldcheck_20260618_132050,kfold_20_seed42,kfold,20,42,11,2850,150,0.4794,0.291253320400464,0.1270666666666667
v532_foldcheck_20260618_132050,kfold_20_seed42,kfold,20,42,12,2850,150,0.5207333333333333,0.2899412036361778,0.11333333333333333
v532_foldcheck_20260618_132050,kfold_20_seed42,kfold,20,42,13,2850,150,0.5090666666666668,0.2948150294099599,0.12766666666666665
