group_col,group_value,count,residual_mean,residual_median,mae100
sleep_pattern,normal,1557,0.6551059730250481,0.0,13.19460500963391
sleep_pattern,oversleeping,424,-0.03537735849056604,0.0,12.992924528301886
sleep_pattern,sleep difficulty,1019,0.535819430814524,0.0,14.153091265947007
activity,intense,675,0.5733333333333334,0.0,14.493333333333334
activity,light,894,-0.2818791946308724,0.0,14.022371364653244
activity,moderate,1431,0.989517819706499,0.0,12.68763102725367
smoke_status,current-smoker,784,1.8801020408163265,0.0,13.854591836734693
smoke_status,ex-smoker,1177,0.2897196261682243,0.0,13.295666949872558
smoke_status,non-smoker,1039,-0.25409047160731474,0.0,13.439846005774783
medical_history,Unknown,1289,0.28626842513576417,0.0,14.13576415826222
medical_history,diabetes,506,1.7865612648221343,0.0,12.774703557312254
medical_history,heart disease,508,-1.187007874015748,0.0,13.525590551181102
medical_history,high blood pressure,697,1.2639885222381635,0.0,12.796269727403157
family_medical_history,Unknown,1486,0.07267833109017492,0.0,13.336473755047106
family_medical_history,diabetes,615,0.2666666666666667,0.0,14.416260162601626
family_medical_history,heart disease,419,1.4486873508353222,0.0,13.200477326968974
family_medical_history,high blood pressure,480,1.4,0.0,13.041666666666666
mean_working_group,low_<=6,119,-8.294117647058824,0.0,10.260504201680673
mean_working_group,missing,1032,0.7645348837209303,0.0,12.871124031007753
mean_working_group,work_10,346,0.1647398843930635,0.0,13.823699421965317
mean_working_group,work_11,120,8.433333333333334,0.0,13.483333333333333
mean_working_group,work_12plus,77,13.012987012987013,2.0,13.61038961038961
mean_working_group,work_7,318,-1.0943396226415094,0.0,13.723270440251572
mean_working_group,work_8,451,1.1529933481152994,0.0,14.789356984478935
mean_working_group,work_9,537,-0.919925512104283,0.0,13.94413407821229
edu_level,Unknown,607,1.6079077429983526,0.0,13.673805601317957
edu_level,bachelors degree,880,-0.4045454545454546,0.0,13.465909090909092
edu_level,graduate degree,589,0.972835314091681,0.0,13.747028862478778
edu_level,high school diploma,924,0.3874458874458874,0.0,13.233766233766234
