candidate,fold,mae
sentinel_0,1,0.13323333333333334
sentinel_0,2,0.12739999999999999
sentinel_0,3,0.14206666666666667
sentinel_0,4,0.14776666666666666
sentinel_0,5,0.14473333333333335
sentinel_0,6,0.12623333333333334
sentinel_0,7,0.14203333333333334
sentinel_0,8,0.14506666666666665
sentinel_0,9,0.14493333333333336
sentinel_0,10,0.1406666666666667
sentinel_minus1,1,0.13243333333333332
sentinel_minus1,2,0.12656666666666666
sentinel_minus1,3,0.14126666666666668
sentinel_minus1,4,0.14686666666666667
sentinel_minus1,5,0.14403333333333335
sentinel_minus1,6,0.1252
sentinel_minus1,7,0.141
sentinel_minus1,8,0.1446
sentinel_minus1,9,0.14450000000000002
sentinel_minus1,10,0.13963333333333333
median_flag,1,0.1756
median_flag,2,0.17833333333333334
median_flag,3,0.18946666666666667
median_flag,4,0.1948
median_flag,5,0.1956
median_flag,6,0.1785
median_flag,7,0.1937
median_flag,8,0.19206666666666666
median_flag,9,0.1877
median_flag,10,0.18583333333333332
sentinel_16,1,0.13446666666666668
sentinel_16,2,0.12863333333333335
sentinel_16,3,0.14240000000000003
sentinel_16,4,0.14856666666666668
sentinel_16,5,0.14606666666666668
sentinel_16,6,0.1273
sentinel_16,7,0.1431
sentinel_16,8,0.14566666666666667
sentinel_16,9,0.14543333333333333
sentinel_16,10,0.14106666666666667
sentinel_20,1,0.13166666666666665
sentinel_20,2,0.12546666666666667
sentinel_20,3,0.14023333333333332
sentinel_20,4,0.14546666666666666
sentinel_20,5,0.14293333333333333
sentinel_20,6,0.12366666666666667
sentinel_20,7,0.14023333333333335
sentinel_20,8,0.14363333333333334
sentinel_20,9,0.14323333333333332
sentinel_20,10,0.13766666666666666
sentinel_30,1,0.1297666666666667
sentinel_30,2,0.12360000000000002
sentinel_30,3,0.1387666666666667
sentinel_30,4,0.1435666666666667
sentinel_30,5,0.14103333333333334
sentinel_30,6,0.12159999999999999
sentinel_30,7,0.1382
sentinel_30,8,0.14240000000000003
sentinel_30,9,0.14213333333333333
sentinel_30,10,0.13573333333333332
sentinel_50,1,0.12910000000000002
sentinel_50,2,0.12306666666666667
sentinel_50,3,0.13823333333333335
sentinel_50,4,0.14293333333333333
sentinel_50,5,0.14013333333333336
sentinel_50,6,0.12083333333333333
sentinel_50,7,0.13776666666666665
sentinel_50,8,0.14193333333333333
sentinel_50,9,0.14186666666666667
sentinel_50,10,0.13516666666666666
sentinel_99,1,0.12886666666666666
sentinel_99,2,0.12283333333333334
sentinel_99,3,0.13823333333333332
sentinel_99,4,0.14276666666666665
sentinel_99,5,0.1399
sentinel_99,6,0.12056666666666667
sentinel_99,7,0.1374
sentinel_99,8,0.14196666666666669
sentinel_99,9,0.1417
sentinel_99,10,0.13493333333333335
sentinel_150,1,0.12883333333333336
sentinel_150,2,0.12283333333333334
sentinel_150,3,0.1382
sentinel_150,4,0.14270000000000002
sentinel_150,5,0.1399
sentinel_150,6,0.12053333333333333
sentinel_150,7,0.13733333333333334
sentinel_150,8,0.14196666666666669
sentinel_150,9,0.1417
sentinel_150,10,0.13486666666666666
sentinel_999,1,0.12883333333333336
sentinel_999,2,0.12283333333333331
sentinel_999,3,0.13823333333333332
sentinel_999,4,0.14273333333333332
sentinel_999,5,0.1399
sentinel_999,6,0.1205
sentinel_999,7,0.13733333333333334
sentinel_999,8,0.14196666666666669
sentinel_999,9,0.14173333333333335
sentinel_999,10,0.1348
