group_col,group_value,count,residual_mean,residual_median,mae100
mean_working_group,10,346,0.16184971098265888,0.0,13.820809248554914
mean_working_group,11,120,8.425,0.0,13.475
mean_working_group,7,318,-1.0943396226415094,0.0,13.71069182389937
mean_working_group,8,451,1.146341463414634,0.0,14.782705099778271
mean_working_group,9,537,-0.9180633147113593,0.0,13.942271880819368
mean_working_group,<=6,119,-8.285714285714286,0.0,10.252100840336135
mean_working_group,>=12,77,13.012987012987013,2.0,13.61038961038961
mean_working_group,missing,1032,0.7664728682170543,0.0,12.873062015503876
sleep_pattern,normal,1557,0.6563904945407836,0.0,13.190751445086706
sleep_pattern,oversleeping,424,-0.03537735849056604,0.0,12.992924528301886
sleep_pattern,sleep difficulty,1019,0.5328753680078508,0.0,14.150147203140333
activity,intense,675,0.5718518518518518,0.0,14.488888888888889
activity,light,894,-0.2818791946308724,0.0,14.020134228187919
activity,moderate,1431,0.989517819706499,0.0,12.684835779175401
smoke_status,current-smoker,784,1.8801020408163265,0.0,13.85204081632653
smoke_status,ex-smoker,1177,0.28802039082412917,0.0,13.292268479184367
smoke_status,non-smoker,1039,-0.2531280076997113,0.0,13.436958614051973
medical_history,Unknown,1289,0.28937160589604344,0.0,14.13266097750194
medical_history,diabetes,506,1.7865612648221343,0.0,12.774703557312254
medical_history,heart disease,508,-1.1948818897637796,0.0,13.51771653543307
medical_history,high blood pressure,697,1.2625538020086082,0.0,12.794835007173601
family_medical_history,Unknown,1486,0.07267833109017492,0.0,13.333781965006729
family_medical_history,diabetes,615,0.2650406504065041,0.0,14.411382113821139
family_medical_history,heart disease,419,1.4486873508353222,0.0,13.200477326968974
family_medical_history,high blood pressure,480,1.4,0.0,13.0375
edu_level,Unknown,607,1.6046128500823724,0.0,13.670510708401977
edu_level,bachelors degree,880,-0.4045454545454546,0.0,13.465909090909092
edu_level,graduate degree,589,0.972835314091681,0.0,13.743633276740237
edu_level,high school diploma,924,0.38852813852813856,0.0,13.228354978354979
endpoint_group,0.01~0.03,101,-22.99009900990099,-2.0,22.99009900990099
endpoint_group,0.97~0.99,90,29.822222222222223,48.0,29.822222222222223
endpoint_group,middle,2766,0.5,0.0,12.554953000723065
endpoint_group,y==0,26,-17.846153846153847,-1.0,17.846153846153847
endpoint_group,y==1,17,15.823529411764707,0.0,15.823529411764707
