candidate,fold,mae
sentinel99,1,0.12886666666666666
sentinel99,2,0.12283333333333334
sentinel99,3,0.13823333333333332
sentinel99,4,0.14276666666666665
sentinel99,5,0.1399
sentinel99,6,0.12056666666666667
sentinel99,7,0.1374
sentinel99,8,0.14196666666666669
sentinel99,9,0.1417
sentinel99,10,0.13493333333333335
sentinel150,1,0.12883333333333336
sentinel150,2,0.12283333333333334
sentinel150,3,0.1382
sentinel150,4,0.14270000000000002
sentinel150,5,0.1399
sentinel150,6,0.12053333333333333
sentinel150,7,0.13733333333333334
sentinel150,8,0.14196666666666669
sentinel150,9,0.1417
sentinel150,10,0.13486666666666666
