exp_id,left_feature,right_feature,left_value,right_value,count,y_mean,pred_mean,residual_mean,residual_median,residual_mae,notes
v56_20260617_150011,mean_working_group,medical_history,>=12,Unknown,34,0.7597058823529411,0.5797058823529412,18.0,11.0,18.235294117647058,
v56_20260617_150011,mean_working_group,family_medical_history,>=12,Unknown,38,0.7468421052631579,0.5823684210526315,16.44736842105263,9.499999999999996,16.763157894736842,
v56_20260617_150011,mean_working_group,smoke_status,11,current-smoker,31,0.6667741935483871,0.5229032258064517,14.387096774193548,0.0,16.129032258064516,
v56_20260617_150011,mean_working_group,medical_history,11,Unknown,54,0.6625925925925926,0.525,13.75925925925926,4.4999999999999964,15.981481481481481,
v56_20260617_150011,mean_working_group,activity,11,intense,30,0.618,0.48633333333333334,13.166666666666666,14.5,19.033333333333335,
v56_20260617_150011,mean_working_group,sleep_pattern,>=12,normal,44,0.7456818181818182,0.6195454545454545,12.613636363636363,1.5,13.295454545454545,
v56_20260617_150011,mean_working_group,activity,>=12,moderate,41,0.7217073170731707,0.604390243902439,11.731707317073171,1.0,12.268292682926829,
v56_20260617_150011,mean_working_group,family_medical_history,11,Unknown,64,0.64953125,0.5371875,11.234375,0.5,14.390625,
v56_20260617_150011,mean_working_group,smoke_status,<=6,non-smoker,43,0.3006976744186046,0.4095348837209302,-10.883720930232558,-1.0,12.930232558139535,
v56_20260617_150011,mean_working_group,edu_level,<=6,high school diploma,34,0.29470588235294115,0.3973529411764706,-10.264705882352942,-0.5,11.441176470588236,
v56_20260617_150011,mean_working_group,edu_level,11,Unknown,31,0.6141935483870967,0.5138709677419355,10.03225806451613,0.0,12.741935483870968,
v56_20260617_150011,mean_working_group,edu_level,<=6,bachelors degree,42,0.2892857142857143,0.3869047619047619,-9.761904761904763,0.0,10.476190476190476,
v56_20260617_150011,mean_working_group,sleep_pattern,11,sleep difficulty,42,0.6052380952380952,0.5092857142857143,9.595238095238095,0.5,17.452380952380953,
v56_20260617_150011,mean_working_group,activity,<=6,intense,30,0.3046666666666667,0.39166666666666666,-8.7,0.0,11.5,
v56_20260617_150011,mean_working_group,activity,11,moderate,57,0.6017543859649123,0.5192982456140351,8.24561403508772,0.0,10.56140350877193,
v56_20260617_150011,mean_working_group,sleep_pattern,<=6,sleep difficulty,49,0.3073469387755102,0.38938775510204077,-8.204081632653061,0.0,11.26530612244898,
v56_20260617_150011,mean_working_group,smoke_status,<=6,ex-smoker,53,0.31528301886792454,0.39603773584905655,-8.075471698113208,0.0,9.471698113207546,
v56_20260617_150011,mean_working_group,sleep_pattern,10,oversleeping,45,0.48444444444444446,0.40444444444444444,8.0,0.0,12.88888888888889,
v56_20260617_150011,mean_working_group,edu_level,11,bachelors degree,36,0.5869444444444444,0.5091666666666667,7.777777777777778,0.0,11.38888888888889,
v56_20260617_150011,mean_working_group,sleep_pattern,<=6,normal,57,0.32456140350877194,0.4021052631578947,-7.754385964912281,0.0,9.228070175438596,
v56_20260617_150011,mean_working_group,sleep_pattern,11,normal,62,0.5766129032258065,0.5003225806451613,7.629032258064516,0.0,11.17741935483871,
v56_20260617_150011,mean_working_group,family_medical_history,<=6,Unknown,62,0.3229032258064516,0.39838709677419354,-7.548387096774194,0.0,9.580645161290322,
v56_20260617_150011,mean_working_group,medical_history,<=6,Unknown,55,0.31509090909090903,0.3889090909090909,-7.381818181818182,0.0,10.290909090909091,
v56_20260617_150011,mean_working_group,smoke_status,11,non-smoker,50,0.579,0.5144,6.46,0.0,13.18,
v56_20260617_150011,mean_working_group,smoke_status,11,ex-smoker,39,0.5628205128205128,0.5005128205128205,6.230769230769231,1.0,11.76923076923077,
v56_20260617_150011,mean_working_group,medical_history,9,heart disease,76,0.41973684210526313,0.47855263157894734,-5.881578947368421,0.0,15.513157894736842,
v56_20260617_150011,mean_working_group,edu_level,<=6,graduate degree,30,0.354,0.4043333333333333,-5.033333333333333,0.0,8.166666666666666,
v56_20260617_150011,smoke_status,medical_history,current-smoker,high blood pressure,182,0.5764285714285714,0.5263186813186813,5.010989010989011,0.0,12.538461538461538,
v56_20260617_150011,mean_working_group,activity,<=6,moderate,60,0.32416666666666666,0.37416666666666665,-5.0,0.0,6.966666666666667,
