exp_id,hypothesis_group,feature_set,model,target_mode,postprocess,mean_mae,std_mae,pred_mean,pred_std,pred_min,pred_max,notes
v5_20260617_030349,D_kernel_latent_score,S2_core_derived,svr_rbf,quantile_target,clip_0_1_round2,0.13760666666666665,0.007431095826672213,0.47446999999999995,0.19257071495969133,0.0,1.0,kfold; scaled; dense
v5_20260617_030349,D_kernel_latent_score,S2_core_derived,svr_rbf,quantile_target,raw,0.13762249702969262,0.007415591455507101,0.4744970167295675,0.19254216039626407,0.0,1.0,kfold; scaled; dense
v5_20260617_030349,D_kernel_latent_score,S2_core_derived,svr_rbf,quantile_target,clip_0_1,0.13762249702969262,0.007415591455507101,0.4744970167295675,0.19254216039626407,0.0,1.0,kfold; scaled; dense
v5_20260617_030349,D_kernel_latent_score,S1_simple_score_encoding,svr_rbf,quantile_target,clip_0_1_round2,0.13834666666666667,0.0071019246217721346,0.4743899999999999,0.1944044553606939,0.0,1.0,kfold; scaled; dense
v5_20260617_030349,D_kernel_latent_score,S1_simple_score_encoding,svr_rbf,quantile_target,clip_0_1,0.13835575060087432,0.007083478935074591,0.4744033197242167,0.1943901260879404,0.0,1.0,kfold; scaled; dense
v5_20260617_030349,D_kernel_latent_score,S1_simple_score_encoding,svr_rbf,quantile_target,raw,0.13835575060087432,0.007083478935074591,0.4744033197242167,0.1943901260879404,0.0,1.0,kfold; scaled; dense
v5_20260617_030349,D_kernel_latent_score,S2_core_derived,svr_rbf,raw,clip_0_1_round2,0.13941333333333333,0.007689903593930854,0.47672333333333333,0.18802663320343788,0.0,1.0,kfold; scaled; dense
v5_20260617_030349,D_kernel_latent_score,S1_simple_score_encoding,svr_rbf,raw,clip_0_1_round2,0.13965333333333332,0.007433178872336392,0.47642999999999996,0.18928452475159402,0.0,1.0,kfold; scaled; dense
v5_20260617_030349,D_kernel_latent_score,S2_core_derived,svr_rbf,raw,clip_0_1,0.13965658523973917,0.007610149936397343,0.4765019699990048,0.18780039221937225,6.651403129942501e-05,1.0,kfold; scaled; dense
v5_20260617_030349,D_kernel_latent_score,S2_core_derived,svr_rbf,raw,raw,0.13965683940909362,0.007609843821944902,0.4765022241683592,0.18780110117763074,6.651403129942501e-05,1.000363907364043,kfold; scaled; dense
v5_20260617_030349,D_kernel_latent_score,S1_simple_score_encoding,svr_rbf,raw,clip_0_1,0.13992916095155933,0.007422026271259677,0.4763865488359617,0.18908808147294723,0.0,1.0,kfold; scaled; dense
v5_20260617_030349,D_kernel_latent_score,S1_simple_score_encoding,svr_rbf,raw,raw,0.13992929545011454,0.007422050283178672,0.47638647146396595,0.1890884276692512,-0.0003178058264746708,1.000062912460654,kfold; scaled; dense
v5_20260617_030349,B_binned_or_tree_scorecard,S2_core_derived,extratrees_v3_setting,raw,clip_0_1_round2,0.1565666666666667,0.007119977111906633,0.47698333333333337,0.17553899196889575,0.01,1.0,kfold; unscaled; sparse-ok
v5_20260617_030349,B_binned_or_tree_scorecard,S2_core_derived,extratrees_v3_setting,raw,raw,0.1566631199999999,0.0071037303966087866,0.47693558666666686,0.1754299752938473,0.00757,0.9999600000000001,kfold; unscaled; sparse-ok
v5_20260617_030349,B_binned_or_tree_scorecard,S2_core_derived,extratrees_v3_setting,raw,clip_0_1,0.1566631199999999,0.0071037303966087866,0.47693558666666686,0.1754299752938473,0.00757,0.9999600000000001,kfold; unscaled; sparse-ok
v5_20260617_030349,B_binned_or_tree_scorecard,S1_simple_score_encoding,extratrees_v3_setting,raw,clip_0_1_round2,0.15684,0.006562327951889342,0.47707,0.17642209806473183,0.0,1.0,kfold; unscaled; sparse-ok
v5_20260617_030349,B_binned_or_tree_scorecard,S1_simple_score_encoding,extratrees_v3_setting,raw,raw,0.15699829999999987,0.006604143729283742,0.4771046133333336,0.17634504535632572,0.0041400000000000005,1.0,kfold; unscaled; sparse-ok
v5_20260617_030349,B_binned_or_tree_scorecard,S1_simple_score_encoding,extratrees_v3_setting,raw,clip_0_1,0.15699829999999987,0.006604143729283742,0.4771046133333336,0.17634504535632572,0.0041400000000000005,1.0,kfold; unscaled; sparse-ok
v5_20260617_030349,B_binned_or_tree_scorecard,S3_mean_working_score,extratrees_v3_setting,y100,clip_0_1_round2,0.17409333333333335,0.009058449435352589,0.47962333333333335,0.16786130364473323,0.0,1.0,kfold; unscaled; sparse-ok
v5_20260617_030349,B_binned_or_tree_scorecard,S3_mean_working_score,extratrees_v3_setting,y100,raw,0.17417806666666666,0.009026620765721144,0.47969902000000003,0.1677365346034862,0.00435,0.99889,kfold; unscaled; sparse-ok
v5_20260617_030349,B_binned_or_tree_scorecard,S3_mean_working_score,extratrees_v3_setting,y100,clip_0_1,0.17417806666666666,0.009026620765721144,0.47969902000000003,0.1677365346034862,0.00435,0.99889,kfold; unscaled; sparse-ok
