missing_pattern_code,count,y_mean,y_median,y_std,missing_count
MW0_MED0_FAM0_EDU0,690,0.48589855072463767,0.49,0.2982651650900074,0
MW0_MED1_FAM1_EDU0,623,0.449967897271268,0.45,0.29253410870450536,2
MW1_MED0_FAM0_EDU0,366,0.5023497267759564,0.495,0.2760324540923657,1
MW1_MED1_FAM1_EDU0,280,0.47110714285714284,0.47,0.2861244984663701,3
MW0_MED0_FAM1_EDU0,197,0.4590355329949239,0.44,0.2630038095408606,1
MW0_MED0_FAM0_EDU1,163,0.5077914110429448,0.53,0.2823119379270825,1
MW0_MED1_FAM1_EDU1,126,0.4998412698412698,0.495,0.28316492474029087,3
MW1_MED0_FAM0_EDU1,113,0.4946902654867257,0.54,0.2820684782499639,2
MW1_MED0_FAM1_EDU0,92,0.4993478260869565,0.51,0.282383125090508,2
MW0_MED1_FAM0_EDU0,89,0.42842696629213484,0.43,0.28213431229406777,1
MW1_MED1_FAM1_EDU1,78,0.45974358974358975,0.46,0.274060256711958,4
MW0_MED0_FAM1_EDU1,57,0.6256140350877193,0.71,0.3119238548557487,2
MW1_MED1_FAM0_EDU0,56,0.5392857142857143,0.54,0.272349088439866,2
MW1_MED0_FAM1_EDU1,33,0.5045454545454545,0.47,0.27479641224335183,3
MW0_MED1_FAM0_EDU1,23,0.6039130434782608,0.64,0.3080545868161973,2
MW1_MED1_FAM0_EDU1,14,0.47214285714285714,0.31,0.32624150024715814,3
