variable,value,delta_mean,pred_mean,pred_std
mean_working,0,0.008718524406039234,0.5003754841017429,0.30059690924004656
mean_working,5,0.008259407630165149,0.49991636732586875,0.3055818543579441
mean_working,6,0.008148442863726742,0.49980540255943046,0.30641692422543815
mean_working,7,0.008031075597396152,0.49968803529309985,0.30719881537094323
mean_working,8,0.007907307544809805,0.49956426724051345,0.3079279945832978
mean_working,9,0.0077771461157276,0.4994341058114312,0.3086049908784257
mean_working,10,0.007640604470839378,0.499297564166543,0.30923039473531105
mean_working,11,0.007497701569633513,0.49915466126533725,0.3098048571871112
mean_working,12,0.0073484622111919,0.49900542190689556,0.3103290887649971
mean_working,15,0.006863061630982932,0.4985200213266866,0.311608369658496
mean_working,99,-0.015311882036302122,0.4763450776594016,0.2747874811494065
mean_working,150,-0.015035241359167619,0.476621718336536,0.1818872164730426
sleep_pattern,normal,0.026811515824327704,0.5184684755200313,0.32664997845700433
sleep_pattern,oversleeping,-0.018554233509524475,0.4731027261861793,0.15663584501341635
sleep_pattern,sleep difficulty,-0.0017503792383012661,0.4899065804574024,0.2152969408463178
activity,light,-0.02573161984870527,0.46592533984699847,0.2510144964111203
activity,moderate,0.012383454797601168,0.5040404144933048,0.2633912841883054
activity,intense,0.016049525634918394,0.5077064853306221,0.19686040720922302
smoke_status,current-smoker,0.026340214530626557,0.5179971742263302,0.18404293863504026
smoke_status,ex-smoker,-0.03265221904135759,0.459004740654346,0.24455292969257675
smoke_status,non-smoker,-0.00047130113280721144,0.4911856585628965,0.23959813372021893
glucose,96.167,-0.01141067029704972,0.480246289398654,0.12751746876706221
glucose,113.9125,-0.034057018613959135,0.4575999410817446,0.20067196970183135
glucose,126.555,-0.028840102568963733,0.4628168571267399,0.23283477522783977
glucose,139.18,0.007678321105012994,0.49933528080071665,0.24334783529931545
glucose,155.96,0.03438924651228643,0.52604620620799,0.1659075749879892
cholesterol,194.87,-0.005383496033150792,0.48627346366255286,0.10943259725336033
cholesterol,216.9275,0.01378934972286329,0.5054463094185668,0.22434194201218932
cholesterol,234.255,0.005638885516665486,0.49729584521236925,0.24908785658457458
cholesterol,250.3775,-0.025115826679877905,0.46654113301582584,0.235626302528065
cholesterol,273.805,-0.011520011887239452,0.4801369478084642,0.21171614544145448
systolic_blood_pressure,121.0,0.009803179867549756,0.5014601395632535,0.12662326632600898
systolic_blood_pressure,135.0,-0.0158822721977793,0.4757746874979244,0.1818809004048961
systolic_blood_pressure,146.0,-0.02194962688582258,0.46970733280988114,0.23848446632157838
systolic_blood_pressure,158.0,-0.003033252063054812,0.48862370763264884,0.22216016772825287
systolic_blood_pressure,173.0,0.0043160942206830945,0.49597305391638685,0.17854887310742973
diastolic_blood_pressure,80.0,-0.0172338295832081,0.4744231301124956,0.10703348521945161
diastolic_blood_pressure,89.0,-0.026069902934545156,0.4655870567611586,0.2113741814200536
diastolic_blood_pressure,95.0,-0.01847729371173869,0.47317966598396494,0.2683048006993283
diastolic_blood_pressure,102.0,0.01050870169688936,0.502165661392593,0.22120749566208386
diastolic_blood_pressure,112.0,0.024918045160608374,0.516575004856312,0.14256877942240342
bone_density,0.23,0.0059318682521351486,0.4975888279478388,0.2276559208808008
bone_density,0.56,0.010783684758650486,0.5024406444543542,0.2698935297411564
bone_density,0.94,0.007679389432841007,0.49933634912854463,0.2895767975378666
bone_density,1.3,-0.004501234880413523,0.48715572481529007,0.26330477389634055
bone_density,1.62,-0.012221009602755873,0.47943595009294787,0.20905405218069614
