k,cluster,count,y_mean,pred_mean,residual_mean
3,0,1046,0.482848948374761,0.478585086042065,0.4263862332695988
3,1,1120,0.49160714285714285,0.47979464285714285,1.1812500000000004
3,2,834,0.4685011990407674,0.471115107913669,-0.2613908872901674
4,0,720,0.45875,0.4701805555555555,-1.143055555555555
4,1,901,0.4885793562708102,0.47807991120976695,1.0499445061043289
4,2,711,0.49374120956399437,0.48210970464135017,1.1631504922644167
4,3,668,0.4862724550898203,0.4772754491017964,0.8997005988023955
5,0,663,0.49701357466063345,0.48435897435897435,1.265460030165913
5,1,599,0.4885642737896494,0.4782637729549249,1.0300500834724544
5,2,512,0.46373046875,0.4762109375,-1.2480468749999996
5,3,554,0.46635379061371846,0.46445848375451265,0.18953068592057823
5,4,672,0.48873511904761907,0.479375,0.9360119047619049
6,0,454,0.454647577092511,0.47180616740088105,-1.7158590308370036
6,1,512,0.50388671875,0.49818359375,0.5703125000000004
6,2,533,0.5013883677298312,0.48671669793621014,1.4671669793621016
6,3,507,0.47021696252465484,0.4570611439842209,1.3155818540433926
6,4,508,0.48663385826771655,0.4821850393700787,0.44488188976377996
6,5,486,0.4714814814814815,0.46401234567901234,0.746913580246914
7,0,470,0.47019148936170213,0.46610638297872337,0.4085106382978723
7,1,409,0.4753789731051345,0.4545965770171149,2.0782396088019564
7,2,392,0.5102040816326531,0.5030612244897958,0.7142857142857145
7,3,407,0.44162162162162166,0.46916461916461916,-2.754299754299754
7,4,462,0.49794372294372297,0.49212121212121207,0.5822510822510828
7,5,393,0.5023409669211195,0.4875063613231552,1.4834605597964383
7,6,467,0.47914346895074944,0.4684796573875803,1.0663811563169168
8,0,377,0.46177718832891246,0.46278514588859415,-0.10079575596816952
8,1,375,0.5090666666666667,0.49951999999999996,0.9546666666666671
8,2,338,0.5002071005917159,0.4979585798816568,0.22485207100591742
8,3,394,0.48124365482233505,0.4689593908629442,1.2284263959390866
8,4,383,0.4712271540469974,0.46879895561357704,0.24281984334203716
8,5,379,0.4944327176781002,0.48039577836411607,1.4036939313984171
8,6,385,0.4936103896103896,0.47005194805194805,2.355844155844156
8,7,369,0.446639566395664,0.46997289972899725,-2.3333333333333326
