exp_id,target,model,term,coefficient,abs_coefficient
v61_20260617_160621,y100,elasticnet_poly_degree_1,age,-2.9990326297531884,2.9990326297531884
v61_20260617_160621,y100,elasticnet_poly_degree_1,mean_working_sentinel99,1.8456486338015792,1.8456486338015792
v61_20260617_160621,y100,elasticnet_poly_degree_1,bone_density,-1.8295871371403865,1.8295871371403865
v61_20260617_160621,y100,elasticnet_poly_degree_1,medical_history_enc,1.6631071346421633,1.6631071346421633
v61_20260617_160621,y100,elasticnet_poly_degree_1,sleep_pattern_enc,-1.4329818816240654,1.4329818816240654
v61_20260617_160621,y100,elasticnet_poly_degree_1,family_medical_history_enc,0.8840882689463887,0.8840882689463887
v61_20260617_160621,y100,elasticnet_poly_degree_1,diastolic_blood_pressure,0.8164643006801704,0.8164643006801704
v61_20260617_160621,y100,elasticnet_poly_degree_1,glucose,-0.6856938505248233,0.6856938505248233
v61_20260617_160621,y100,elasticnet_poly_degree_1,cholesterol,0.6773421681898398,0.6773421681898398
v61_20260617_160621,y100,elasticnet_poly_degree_1,activity_enc,0.6484733466394288,0.6484733466394288
v61_20260617_160621,y100,elasticnet_poly_degree_1,BMI,0.4828317777865217,0.4828317777865217
v61_20260617_160621,y100,elasticnet_poly_degree_1,systolic_blood_pressure,0.33484718237650113,0.33484718237650113
v61_20260617_160621,y100,elasticnet_poly_degree_2,mean_working_sentinel99^2,-19.42073845484848,19.42073845484848
v61_20260617_160621,y100,elasticnet_poly_degree_2,diastolic_blood_pressure medical_history_enc,14.009734187081838,14.009734187081838
v61_20260617_160621,y100,elasticnet_poly_degree_2,glucose systolic_blood_pressure,10.773369603204323,10.773369603204323
v61_20260617_160621,y100,elasticnet_poly_degree_2,BMI activity_enc,10.33083883523995,10.33083883523995
v61_20260617_160621,y100,elasticnet_poly_degree_2,age medical_history_enc,-9.819261228776336,9.819261228776336
v61_20260617_160621,y100,elasticnet_poly_degree_2,systolic_blood_pressure activity_enc,9.429652742049248,9.429652742049248
v61_20260617_160621,y100,elasticnet_poly_degree_2,BMI medical_history_enc,8.988899047524312,8.988899047524312
v61_20260617_160621,y100,elasticnet_poly_degree_2,systolic_blood_pressure^2,-8.12145631074764,8.12145631074764
v61_20260617_160621,y100,elasticnet_poly_degree_2,cholesterol systolic_blood_pressure,8.023455882197405,8.023455882197405
v61_20260617_160621,y100,elasticnet_poly_degree_2,systolic_blood_pressure mean_working_sentinel99,7.964050367022249,7.964050367022249
v61_20260617_160621,y100,elasticnet_poly_degree_2,cholesterol^2,-7.729646304705964,7.729646304705964
v61_20260617_160621,y100,elasticnet_poly_degree_2,bone_density^2,7.631661962701949,7.631661962701949
v61_20260617_160621,y100,elasticnet_poly_degree_2,diastolic_blood_pressure,-7.540957511865252,7.540957511865252
v61_20260617_160621,y100,elasticnet_poly_degree_2,cholesterol activity_enc,-7.533579856268243,7.533579856268243
v61_20260617_160621,y100,elasticnet_poly_degree_2,glucose diastolic_blood_pressure,-7.491822170924431,7.491822170924431
v61_20260617_160621,pred100,elasticnet_poly_degree_1,mean_working_sentinel99,2.409854109275625,2.409854109275625
v61_20260617_160621,pred100,elasticnet_poly_degree_1,medical_history_enc,1.9252512868748426,1.9252512868748426
v61_20260617_160621,pred100,elasticnet_poly_degree_1,age,-1.3670147356069677,1.3670147356069677
v61_20260617_160621,pred100,elasticnet_poly_degree_1,sleep_pattern_enc,-1.2141181594990798,1.2141181594990798
v61_20260617_160621,pred100,elasticnet_poly_degree_1,bone_density,0.9284367413947656,0.9284367413947656
v61_20260617_160621,pred100,elasticnet_poly_degree_1,BMI,0.680913646743785,0.680913646743785
v61_20260617_160621,pred100,elasticnet_poly_degree_1,glucose,0.6670493082006728,0.6670493082006728
v61_20260617_160621,pred100,elasticnet_poly_degree_1,diastolic_blood_pressure,0.4322431082793299,0.4322431082793299
v61_20260617_160621,pred100,elasticnet_poly_degree_1,activity_enc,0.2433511479067784,0.2433511479067784
v61_20260617_160621,pred100,elasticnet_poly_degree_1,family_medical_history_enc,-0.21172537534741667,0.21172537534741667
v61_20260617_160621,pred100,elasticnet_poly_degree_1,systolic_blood_pressure,0.1590529750393944,0.1590529750393944
