metric,value
is_integer_grid,True
unique_classes,101
class_count_mean,29.702970297029704
class_count_std,6.416454713399676
class_count_min,17
class_count_max,44
entropy_bits,6.624140104768709
count_y100_0,26
count_y100_1,35
count_y100_2,36
count_y100_3,30
count_y100_97,30
count_y100_98,26
count_y100_99,34
count_y100_100,17
mod_2_rem_0_rate,0.5063333333333333
mod_2_rem_1_rate,0.49366666666666664
mod_5_rem_0_rate,0.19466666666666665
mod_5_rem_1_rate,0.20133333333333334
mod_5_rem_2_rate,0.20333333333333334
mod_5_rem_3_rate,0.201
mod_5_rem_4_rate,0.19966666666666666
mod_10_rem_0_rate,0.103
mod_10_rem_1_rate,0.10066666666666667
mod_10_rem_2_rate,0.10233333333333333
mod_10_rem_3_rate,0.102
mod_10_rem_4_rate,0.10133333333333333
mod_10_rem_5_rate,0.09166666666666666
mod_10_rem_6_rate,0.10066666666666667
mod_10_rem_7_rate,0.101
mod_10_rem_8_rate,0.099
mod_10_rem_9_rate,0.09833333333333333
interpretation,"target is exactly a 0..100 integer lattice, supporting bounded synthetic/grid score hypothesis"
