y100,count
0,26
1,35
2,36
3,30
4,36
5,23
6,26
7,31
8,34
9,29
10,24
11,35
12,44
13,39
14,32
15,35
16,40
17,36
18,33
19,40
20,18
21,37
22,22
23,38
24,25
25,25
26,37
27,31
28,31
29,25
30,29
31,33
32,22
33,34
34,28
35,19
36,34
37,40
38,30
39,30
40,39
41,30
42,27
43,25
44,18
45,32
46,26
47,35
48,34
49,30
50,30
51,22
52,35
53,33
54,43
55,37
56,25
57,21
58,26
59,40
60,33
61,20
62,31
63,27
64,33
65,24
66,19
67,28
68,27
69,25
70,33
71,42
72,35
73,29
74,41
75,33
76,33
77,34
78,28
79,25
80,32
81,25
82,32
83,32
84,23
85,27
86,29
87,17
88,28
89,17
90,28
91,23
92,23
93,19
94,25
95,20
96,33
97,30
98,26
99,34
100,17
