exp_id,model,scaler,n_splits,fold,postprocess,mae
v7_20260617_181613,mlp_small_relu_l2_1e4,standard,5,1,raw,0.2483174316880344
v7_20260617_181613,mlp_small_relu_l2_1e4,standard,5,1,clip_0_1,0.2483174316880344
v7_20260617_181613,mlp_small_relu_l2_1e4,standard,5,1,clip_0_1_round2,0.24825000000000003
v7_20260617_181613,mlp_small_relu_l2_1e4,standard,5,2,raw,0.2434018474237711
v7_20260617_181613,mlp_small_relu_l2_1e4,standard,5,2,clip_0_1,0.2434018474237711
v7_20260617_181613,mlp_small_relu_l2_1e4,standard,5,2,clip_0_1_round2,0.24338333333333328
v7_20260617_181613,mlp_small_relu_l2_1e4,standard,5,3,raw,0.243908055768635
v7_20260617_181613,mlp_small_relu_l2_1e4,standard,5,3,clip_0_1,0.243908055768635
v7_20260617_181613,mlp_small_relu_l2_1e4,standard,5,3,clip_0_1_round2,0.24401666666666672
v7_20260617_181613,mlp_small_relu_l2_1e4,standard,5,4,raw,0.24919164850502876
v7_20260617_181613,mlp_small_relu_l2_1e4,standard,5,4,clip_0_1,0.24896506230769247
v7_20260617_181613,mlp_small_relu_l2_1e4,standard,5,4,clip_0_1_round2,0.24885000000000002
v7_20260617_181613,mlp_small_relu_l2_1e4,standard,5,5,raw,0.24761096086260642
v7_20260617_181613,mlp_small_relu_l2_1e4,standard,5,5,clip_0_1,0.24642205396442132
v7_20260617_181613,mlp_small_relu_l2_1e4,standard,5,5,clip_0_1_round2,0.24635
v7_20260617_181613,mlp_medium_relu_l2_1e4,standard,5,1,raw,0.23590584337035944
v7_20260617_181613,mlp_medium_relu_l2_1e4,standard,5,1,clip_0_1,0.23590584337035944
v7_20260617_181613,mlp_medium_relu_l2_1e4,standard,5,1,clip_0_1_round2,0.2359166666666667
v7_20260617_181613,mlp_medium_relu_l2_1e4,standard,5,2,raw,0.24126304845368962
v7_20260617_181613,mlp_medium_relu_l2_1e4,standard,5,2,clip_0_1,0.24126304845368962
v7_20260617_181613,mlp_medium_relu_l2_1e4,standard,5,2,clip_0_1_round2,0.24133333333333334
v7_20260617_181613,mlp_medium_relu_l2_1e4,standard,5,3,raw,0.24339737525387312
v7_20260617_181613,mlp_medium_relu_l2_1e4,standard,5,3,clip_0_1,0.24339737525387312
v7_20260617_181613,mlp_medium_relu_l2_1e4,standard,5,3,clip_0_1_round2,0.24343333333333333
v7_20260617_181613,mlp_medium_relu_l2_1e4,standard,5,4,raw,0.24218722168906667
v7_20260617_181613,mlp_medium_relu_l2_1e4,standard,5,4,clip_0_1,0.24218722168906667
v7_20260617_181613,mlp_medium_relu_l2_1e4,standard,5,4,clip_0_1_round2,0.24215000000000003
v7_20260617_181613,mlp_medium_relu_l2_1e4,standard,5,5,raw,0.24298197662051033
v7_20260617_181613,mlp_medium_relu_l2_1e4,standard,5,5,clip_0_1,0.24298197662051033
v7_20260617_181613,mlp_medium_relu_l2_1e4,standard,5,5,clip_0_1_round2,0.24286666666666668
v7_20260617_181613,mlp_medium_relu_l2_1e3,standard,5,1,raw,0.23313577058504098
v7_20260617_181613,mlp_medium_relu_l2_1e3,standard,5,1,clip_0_1,0.23313577058504098
v7_20260617_181613,mlp_medium_relu_l2_1e3,standard,5,1,clip_0_1_round2,0.2331666666666667
v7_20260617_181613,mlp_medium_relu_l2_1e3,standard,5,2,raw,0.24003699210369608
v7_20260617_181613,mlp_medium_relu_l2_1e3,standard,5,2,clip_0_1,0.24003699210369608
v7_20260617_181613,mlp_medium_relu_l2_1e3,standard,5,2,clip_0_1_round2,0.24019999999999997
v7_20260617_181613,mlp_medium_relu_l2_1e3,standard,5,3,raw,0.24314450939118454
v7_20260617_181613,mlp_medium_relu_l2_1e3,standard,5,3,clip_0_1,0.24314450939118454
v7_20260617_181613,mlp_medium_relu_l2_1e3,standard,5,3,clip_0_1_round2,0.24301666666666666
v7_20260617_181613,mlp_medium_relu_l2_1e3,standard,5,4,raw,0.2427540313700488
v7_20260617_181613,mlp_medium_relu_l2_1e3,standard,5,4,clip_0_1,0.2427540313700488
v7_20260617_181613,mlp_medium_relu_l2_1e3,standard,5,4,clip_0_1_round2,0.2429333333333333
v7_20260617_181613,mlp_medium_relu_l2_1e3,standard,5,5,raw,0.24294973197745084
