exp_id,group_col,group_value,count,y100_mean,y100_std,y100_min,y100_max,unique_y100_count,top_y100,top_y100_count,top_y100_share
v81_20260618_103517,mean_working_group,10,346,46.774566473988436,29.453693264393173,0,100,97,76,8,0.023121387283236993
v81_20260618_103517,mean_working_group,11,120,59.641666666666666,24.758597804926403,1,100,62,72,6,0.05
v81_20260618_103517,mean_working_group,7,318,46.57232704402516,29.112413283444578,0,100,97,13,8,0.025157232704402517
v81_20260618_103517,mean_working_group,8,451,48.23281596452328,30.218190045207503,0,100,98,96,10,0.022172949002217297
v81_20260618_103517,mean_working_group,9,537,46.109869646182496,29.500332583847307,0,100,101,39,10,0.0186219739292365
v81_20260618_103517,mean_working_group,<=6,119,31.168067226890756,18.23124498465087,0,77,49,59,8,0.06722689075630252
v81_20260618_103517,mean_working_group,>=12,77,72.36363636363636,18.398304477736595,40,100,44,54,5,0.06493506493506493
v81_20260618_103517,mean_working_group,missing,1032,49.12112403100775,28.006128252328317,0,100,101,55,19,0.018410852713178296
v81_20260618_103517,sleep_pattern,normal,1557,48.60179833012203,29.340404366393244,0,100,101,13,26,0.016698779704560053
v81_20260618_103517,sleep_pattern,oversleeping,424,45.323113207547166,28.661418515579705,0,100,98,11,11,0.025943396226415096
v81_20260618_103517,sleep_pattern,sleep difficulty,1019,48.82139352306182,28.045526656549335,0,100,101,53,23,0.022571148184494603
v81_20260618_103517,activity,intense,675,48.48,29.426629575775596,0,100,101,14,14,0.02074074074074074
v81_20260618_103517,activity,light,894,47.26845637583892,28.603079154948187,0,100,101,85,19,0.021252796420581657
v81_20260618_103517,activity,moderate,1431,48.677148846960165,28.682745510969827,0,100,101,54,27,0.018867924528301886
v81_20260618_103517,smoke_status,current-smoker,784,49.47704081632653,29.50895672706272,0,100,100,8,14,0.017857142857142856
v81_20260618_103517,smoke_status,ex-smoker,1177,47.066270178419714,28.506784473026194,0,100,101,12,25,0.021240441801189464
v81_20260618_103517,smoke_status,non-smoker,1039,48.55822906641001,28.640355590397185,0,100,101,21,19,0.01828681424446583
v81_20260618_103517,medical_history,__MISSING__,1289,46.540729247478666,28.904696040513787,0,100,101,16,24,0.018619084561675717
v81_20260618_103517,medical_history,diabetes,506,49.77865612648221,28.14415541690711,0,100,99,74,12,0.023715415019762844
v81_20260618_103517,medical_history,heart disease,508,48.21456692913386,29.102133020801123,0,100,98,19,14,0.027559055118110236
v81_20260618_103517,medical_history,high blood pressure,697,50.16786226685796,28.838466093079425,0,100,100,4,16,0.02295552367288379
v81_20260618_103517,family_medical_history,__MISSING__,1486,47.09017496635263,28.71508615282181,0,100,101,12,26,0.017496635262449527
v81_20260618_103517,family_medical_history,diabetes,615,49.20650406504065,27.960091789415507,0,100,101,11,15,0.024390243902439025
v81_20260618_103517,family_medical_history,heart disease,419,48.47732696897375,29.270007454363274,0,100,99,31,13,0.031026252983293555
v81_20260618_103517,family_medical_history,high blood pressure,480,50.18541666666667,29.782878112030193,0,100,98,86,17,0.035416666666666666
v81_20260618_103517,edu_level,__MISSING__,607,51.12355848434926,28.777963387898687,0,100,100,21,13,0.0214168039538715
v81_20260618_103517,edu_level,bachelors degree,880,46.57954545454545,28.59458153358745,0,100,101,64,19,0.02159090909090909
v81_20260618_103517,edu_level,graduate degree,589,48.555178268251275,29.399935695307814,0,100,100,55,13,0.022071307300509338
v81_20260618_103517,edu_level,high school diploma,924,47.63852813852814,28.603336984904637,0,100,101,19,22,0.023809523809523808
v81_20260618_103517,endpoint_group,0.01~0.03,101,1.9504950495049505,0.8046892272643195,1,3,3,2,36,0.3564356435643564
v81_20260618_103517,endpoint_group,0.97~0.99,90,98.04444444444445,0.8468197095453123,97,99,3,99,34,0.37777777777777777
v81_20260618_103517,endpoint_group,middle,2766,48.41576283441793,26.52867616785576,4,96,93,12,44,0.015907447577729574
v81_20260618_103517,endpoint_group,y==0,26,0.0,0.0,0,0,1,0,26,1.0
v81_20260618_103517,endpoint_group,y==1,17,100.0,0.0,100,100,1,100,17,1.0
