exp_id,group_col,fold,group_value,fit_offset100
v81_20260618_103517,mean_working_group,1,10,0.49050632911392394
v81_20260618_103517,mean_working_group,1,11,7.833333333333333
v81_20260618_103517,mean_working_group,1,7,-0.3951048951048951
v81_20260618_103517,mean_working_group,1,8,1.1072319201995013
v81_20260618_103517,mean_working_group,1,9,-0.8136645962732918
v81_20260618_103517,mean_working_group,1,<=6,-8.327272727272728
v81_20260618_103517,mean_working_group,1,>=12,12.953125
v81_20260618_103517,mean_working_group,1,missing,0.7739872068230277
v81_20260618_103517,mean_working_group,2,10,-0.9228295819935691
v81_20260618_103517,mean_working_group,2,11,9.289719626168225
v81_20260618_103517,mean_working_group,2,7,-1.3135888501742161
v81_20260618_103517,mean_working_group,2,8,1.2119700748129676
v81_20260618_103517,mean_working_group,2,9,-1.0920245398773003
v81_20260618_103517,mean_working_group,2,<=6,-8.169811320754716
v81_20260618_103517,mean_working_group,2,>=12,13.514705882352942
v81_20260618_103517,mean_working_group,2,missing,1.105263157894737
v81_20260618_103517,mean_working_group,3,10,0.4694533762057878
v81_20260618_103517,mean_working_group,3,11,7.821428571428571
v81_20260618_103517,mean_working_group,3,7,-1.8125
v81_20260618_103517,mean_working_group,3,8,1.0751879699248121
v81_20260618_103517,mean_working_group,3,9,-0.7673469387755101
v81_20260618_103517,mean_working_group,3,<=6,-7.20952380952381
v81_20260618_103517,mean_working_group,3,>=12,12.28169014084507
v81_20260618_103517,mean_working_group,3,missing,1.1017316017316017
v81_20260618_103517,mean_working_group,4,10,0.401294498381877
v81_20260618_103517,mean_working_group,4,11,8.718181818181819
v81_20260618_103517,mean_working_group,4,7,-0.6678445229681979
v81_20260618_103517,mean_working_group,4,8,1.293398533007335
v81_20260618_103517,mean_working_group,4,9,-0.5717255717255716
v81_20260618_103517,mean_working_group,4,<=6,-9.10576923076923
v81_20260618_103517,mean_working_group,4,>=12,12.208333333333334
v81_20260618_103517,mean_working_group,4,missing,0.7221030042918455
v81_20260618_103517,mean_working_group,5,10,-0.028753993610223735
v81_20260618_103517,mean_working_group,5,11,8.771428571428572
v81_20260618_103517,mean_working_group,5,7,-0.46236559139784944
v81_20260618_103517,mean_working_group,5,8,1.452970297029703
v81_20260618_103517,mean_working_group,5,9,-0.9876543209876542
v81_20260618_103517,mean_working_group,5,<=6,-8.626168224299066
v81_20260618_103517,mean_working_group,5,>=12,13.301369863013699
v81_20260618_103517,mean_working_group,5,missing,0.8510182207931404
v81_20260618_103517,mean_working_group,6,10,-0.053797468354430444
v81_20260618_103517,mean_working_group,6,11,8.787037037037036
v81_20260618_103517,mean_working_group,6,7,-1.2959183673469388
v81_20260618_103517,mean_working_group,6,8,1.2048780487804878
v81_20260618_103517,mean_working_group,6,9,-0.8178053830227742
v81_20260618_103517,mean_working_group,6,<=6,-8.756756756756756
v81_20260618_103517,mean_working_group,6,>=12,12.956521739130435
v81_20260618_103517,mean_working_group,6,missing,0.4422442244224423
v81_20260618_103517,mean_working_group,7,10,0.6923076923076923
v81_20260618_103517,mean_working_group,7,11,8.194444444444445
v81_20260618_103517,mean_working_group,7,7,-1.2746478873239437
v81_20260618_103517,mean_working_group,7,8,0.5465686274509803
v81_20260618_103517,mean_working_group,7,9,-0.7039337474120082
v81_20260618_103517,mean_working_group,7,<=6,-7.980769230769231
v81_20260618_103517,mean_working_group,7,>=12,13.098591549295774
v81_20260618_103517,mean_working_group,7,missing,0.6709677419354839
v81_20260618_103517,mean_working_group,8,10,0.38436482084690543
v81_20260618_103517,mean_working_group,8,11,8.36283185840708
v81_20260618_103517,mean_working_group,8,7,-1.1403508771929824
v81_20260618_103517,mean_working_group,8,8,1.3859223300970873
v81_20260618_103517,mean_working_group,8,9,-1.300639658848614
v81_20260618_103517,mean_working_group,8,<=6,-7.518518518518518
v81_20260618_103517,mean_working_group,8,>=12,12.845070422535212
v81_20260618_103517,mean_working_group,8,missing,0.6609625668449198
v81_20260618_103517,mean_working_group,9,10,0.03267973856209141
v81_20260618_103517,mean_working_group,9,11,8.926605504587156
v81_20260618_103517,mean_working_group,9,7,-1.2280701754385965
v81_20260618_103517,mean_working_group,9,8,1.7775
v81_20260618_103517,mean_working_group,9,9,-0.9271255060728744
v81_20260618_103517,mean_working_group,9,<=6,-7.825688073394495
v81_20260618_103517,mean_working_group,9,>=12,12.485714285714286
v81_20260618_103517,mean_working_group,9,missing,1.0183387270765911
v81_20260618_103517,mean_working_group,10,10,0.26837060702875387
v81_20260618_103517,mean_working_group,10,11,6.849056603773585
v81_20260618_103517,mean_working_group,10,7,-1.443298969072165
v81_20260618_103517,mean_working_group,10,8,0.9518072289156626
v81_20260618_103517,mean_working_group,10,9,-1.3452631578947365
v81_20260618_103517,mean_working_group,10,<=6,-8.738317757009346
v81_20260618_103517,mean_working_group,10,>=12,13.25
v81_20260618_103517,mean_working_group,10,missing,0.6135629709364908
