exp_id,left,right,left_value,right_value,count,y100_mean,y100_std,expected_additive_y100,interaction_excess_y100
v81_20260618_103517,mean_working_group,activity,>=12,intense,15,77.66666666666667,17.81117894015147,72.63063636363637,5.0360303030303015
v81_20260618_103517,mean_working_group,activity,7,intense,54,49.851851851851855,27.855020486749975,46.83932704402516,3.0125248078266935
v81_20260618_103517,mean_working_group,activity,10,light,106,48.43396226415094,27.21624825196978,45.830022849827365,2.603939414323577
v81_20260618_103517,mean_working_group,activity,11,intense,30,61.8,23.73619380928046,59.90866666666667,1.8913333333333284
v81_20260618_103517,mean_working_group,activity,missing,intense,234,50.94871794871795,27.57100739895202,49.38812403100774,1.5605939177102073
v81_20260618_103517,mean_working_group,activity,8,moderate,204,49.72549019607843,28.28380339065598,48.69696481148345,1.0285253845949853
v81_20260618_103517,mean_working_group,activity,<=6,moderate,60,32.416666666666664,17.790010210138615,31.63221607385092,0.7844505928157446
v81_20260618_103517,mean_working_group,activity,9,moderate,249,47.18473895582329,29.112649811802527,46.57401849314265,0.6107204626806393
v81_20260618_103517,mean_working_group,activity,10,moderate,167,47.52095808383233,29.559382406152743,47.23871532094861,0.2822427628837261
v81_20260618_103517,mean_working_group,activity,8,light,142,47.401408450704224,32.212296638702846,47.288272340362205,0.11313611034201898
v81_20260618_103517,mean_working_group,activity,11,moderate,57,60.175438596491226,24.940015757110345,60.10581551362683,0.06962308286439622
v81_20260618_103517,mean_working_group,activity,missing,light,311,48.09324758842444,27.33025593992358,48.176580406846675,-0.08333281842223528
v81_20260618_103517,mean_working_group,activity,9,intense,134,46.156716417910445,30.5471051204903,46.37686964618249,-0.22015322827204642
v81_20260618_103517,mean_working_group,activity,7,light,98,45.285714285714285,29.29163703175362,45.62778341986408,-0.3420691341497957
v81_20260618_103517,mean_working_group,activity,>=12,moderate,41,72.17073170731707,19.293654966107884,72.82778521059652,-0.6570535032794425
v81_20260618_103517,mean_working_group,activity,missing,moderate,487,48.899383983572896,28.647641900355755,49.58527287796792,-0.6858888943950205
v81_20260618_103517,mean_working_group,activity,7,moderate,166,46.265060240963855,29.49682441556056,47.03647589098532,-0.7714156500214671
v81_20260618_103517,mean_working_group,activity,9,light,154,44.33116883116883,29.304811265913095,45.16532602202141,-0.8341571908525793
