exp_id,scheme,factor,mw_cut,factor_value,count,y100_mean,expected_additive_y100,interaction_excess_y100,residual100_mean,expected_additive_residual100,interaction_excess_residual100,abs_interaction_excess_y100,abs_interaction_excess_residual100
v82_20260618_103948,current_fine,medical_history,11,heart disease,22,51.27272727272727,59.64323359580052,-8.370506323073243,-0.09090909090909091,6.677758530183726,-6.768667621092817,8.370506323073243,6.768667621092817
v82_20260618_103948,current_fine,medical_history,11,__MISSING__,54,66.25925925925925,57.96939591414533,8.289863345113922,13.574074074074074,8.124911300749934,5.44916277332414,8.289863345113922,5.44916277332414
v82_20260618_103948,current_fine,medical_history,<=6,high blood pressure,28,25.821428571428573,33.12292949374872,-7.301500922320148,-7.571428571428571,-7.483293912687025,-0.08813465874154591,7.301500922320148,0.08813465874154591
v82_20260618_103948,current_fine,medical_history,10,heart disease,69,53.65217391304348,46.776133403122294,6.876040509921182,3.0579710144927534,-1.507164398525329,4.565135413018083,6.876040509921182,4.565135413018083
v82_20260618_103948,current_fine,family_medical_history,11,__MISSING__,64,64.953125,58.518841633019285,6.434283366980715,11.078125,7.914797667115298,3.163327332884702,6.434283366980715,3.163327332884702
v82_20260618_103948,current_fine,sleep_pattern,7,oversleeping,44,50.02272727272727,43.682440251572324,6.34028702115495,-0.8409090909090909,-1.6500691823899372,0.8091600914808462,6.34028702115495,0.8091600914808462
v82_20260618_103948,current_fine,edu_level,11,graduate degree,22,66.13636363636364,59.98384493491795,6.152518701445693,12.636363636363637,8.788586304470854,3.8477773318927824,6.152518701445693,3.8477773318927824
v82_20260618_103948,current_fine,smoke_status,11,current-smoker,31,66.6774193548387,60.905707482993186,5.771711871845518,14.451612903225806,9.70178231292517,4.749830590300636,5.771711871845518,4.749830590300636
v82_20260618_103948,current_fine,medical_history,9,diabetes,93,53.26881720430107,47.675525772664706,5.593291431636366,4.247311827956989,0.3264625683603094,3.9208492595966797,5.593291431636366,3.9208492595966797
v82_20260618_103948,current_fine,edu_level,>=12,bachelors degree,25,76.04,70.73018181818182,5.309818181818187,14.84,11.975707792207793,2.8642922077922073,5.309818181818187,2.8642922077922073
