exp_id,feature,importance
v83_20260618_104526,num__diastolic_blood_pressure,0.05482351305702787
v83_20260618_104526,num__systolic_blood_pressure,0.05325287888818612
v83_20260618_104526,num__bmi,0.052587821459929726
v83_20260618_104526,num__weight,0.05073014200286529
v83_20260618_104526,num__cholesterol,0.04985828806187446
v83_20260618_104526,num__cholesterol_glucose_product,0.04960970716566175
v83_20260618_104526,num__bone_density,0.04814285369908846
v83_20260618_104526,num__height,0.04640887276650769
v83_20260618_104526,num__glucose,0.044419840327043235
v83_20260618_104526,num__age,0.04313961834805519
v83_20260618_104526,num__glucose_cholesterol_ratio,0.042630981916806476
v83_20260618_104526,num__gender_code,0.030495768526166794
v83_20260618_104526,num__mean_working,0.02931140980135193
v83_20260618_104526,cat__edu_level_cat_high school diploma,0.028652902824763522
v83_20260618_104526,cat__activity_cat_moderate,0.027714086466399123
v83_20260618_104526,cat__edu_level_cat_bachelors degree,0.02579473976034838
v83_20260618_104526,cat__activity_cat_intense,0.02421708786530376
v83_20260618_104526,cat__activity_cat_light,0.02373190604338433
v83_20260618_104526,cat__sleep_pattern_cat_normal,0.02327152224753255
v83_20260618_104526,cat__edu_level_cat_Unknown,0.02275196085066525
v83_20260618_104526,cat__family_medical_history_cat_high blood pressure,0.022747874562873454
v83_20260618_104526,cat__sleep_pattern_cat_sleep difficulty,0.021558378064586697
v83_20260618_104526,cat__edu_level_cat_graduate degree,0.02134892963723372
v83_20260618_104526,cat__family_medical_history_cat_Unknown,0.0205848838457554
v83_20260618_104526,cat__family_medical_history_cat_diabetes,0.019456810650919594
v83_20260618_104526,cat__medical_history_cat_high blood pressure,0.01643229194535609
v83_20260618_104526,cat__medical_history_cat_diabetes,0.016081757896622625
v83_20260618_104526,cat__medical_history_cat_heart disease,0.015076257895665574
v83_20260618_104526,cat__smoke_status_cat_ex-smoker,0.014794094160814791
v83_20260618_104526,cat__smoke_status_cat_non-smoker,0.01432273842156728
v83_20260618_104526,cat__family_medical_history_cat_heart disease,0.013735238572519246
v83_20260618_104526,cat__sleep_pattern_cat_oversleeping,0.013319146346861382
v83_20260618_104526,cat__smoke_status_cat_current-smoker,0.012071893295040763
v83_20260618_104526,cat__medical_history_cat_Unknown,0.006923802625221471
