residual100_rounded,count,exp_id
-60,1,v8_20260618_102726
-53,1,v8_20260618_102726
-50,2,v8_20260618_102726
-49,6,v8_20260618_102726
-48,9,v8_20260618_102726
-47,16,v8_20260618_102726
-46,19,v8_20260618_102726
-45,18,v8_20260618_102726
-44,19,v8_20260618_102726
-43,14,v8_20260618_102726
-42,13,v8_20260618_102726
-41,12,v8_20260618_102726
-40,20,v8_20260618_102726
-39,10,v8_20260618_102726
-38,17,v8_20260618_102726
-37,18,v8_20260618_102726
-36,18,v8_20260618_102726
-35,20,v8_20260618_102726
-34,20,v8_20260618_102726
-33,20,v8_20260618_102726
-32,16,v8_20260618_102726
-31,21,v8_20260618_102726
-30,15,v8_20260618_102726
-29,7,v8_20260618_102726
-28,11,v8_20260618_102726
-27,16,v8_20260618_102726
-26,21,v8_20260618_102726
-25,15,v8_20260618_102726
-24,15,v8_20260618_102726
-23,15,v8_20260618_102726
-22,13,v8_20260618_102726
-21,16,v8_20260618_102726
-20,16,v8_20260618_102726
-19,16,v8_20260618_102726
-18,16,v8_20260618_102726
-17,14,v8_20260618_102726
-16,17,v8_20260618_102726
-15,14,v8_20260618_102726
-14,13,v8_20260618_102726
-13,17,v8_20260618_102726
-12,19,v8_20260618_102726
-11,19,v8_20260618_102726
-10,23,v8_20260618_102726
-9,23,v8_20260618_102726
-8,20,v8_20260618_102726
-7,12,v8_20260618_102726
-6,13,v8_20260618_102726
-5,14,v8_20260618_102726
-4,20,v8_20260618_102726
-3,9,v8_20260618_102726
-2,16,v8_20260618_102726
-1,47,v8_20260618_102726
0,1337,v8_20260618_102726
1,35,v8_20260618_102726
2,21,v8_20260618_102726
3,15,v8_20260618_102726
4,15,v8_20260618_102726
5,13,v8_20260618_102726
6,29,v8_20260618_102726
7,13,v8_20260618_102726
8,17,v8_20260618_102726
9,22,v8_20260618_102726
10,20,v8_20260618_102726
11,21,v8_20260618_102726
12,15,v8_20260618_102726
13,10,v8_20260618_102726
14,11,v8_20260618_102726
15,18,v8_20260618_102726
16,12,v8_20260618_102726
17,13,v8_20260618_102726
18,18,v8_20260618_102726
19,14,v8_20260618_102726
20,15,v8_20260618_102726
21,25,v8_20260618_102726
22,19,v8_20260618_102726
23,22,v8_20260618_102726
24,16,v8_20260618_102726
25,24,v8_20260618_102726
26,15,v8_20260618_102726
27,24,v8_20260618_102726
28,18,v8_20260618_102726
29,13,v8_20260618_102726
30,13,v8_20260618_102726
31,18,v8_20260618_102726
32,12,v8_20260618_102726
33,24,v8_20260618_102726
34,14,v8_20260618_102726
35,12,v8_20260618_102726
36,8,v8_20260618_102726
37,14,v8_20260618_102726
38,21,v8_20260618_102726
39,22,v8_20260618_102726
40,15,v8_20260618_102726
41,14,v8_20260618_102726
42,17,v8_20260618_102726
43,12,v8_20260618_102726
44,10,v8_20260618_102726
45,11,v8_20260618_102726
46,16,v8_20260618_102726
47,12,v8_20260618_102726
48,15,v8_20260618_102726
49,13,v8_20260618_102726
50,26,v8_20260618_102726
51,4,v8_20260618_102726
52,4,v8_20260618_102726
63,1,v8_20260618_102726
