feature,importance
num__diastolic_blood_pressure,0.05047258596412581
num__systolic_blood_pressure,0.048189448227130324
num__cholesterol,0.047518552155490064
num__weight,0.046802533026189905
num__bmi,0.04670136381925578
num__cholesterol_glucose_product,0.0453278420207606
num__bone_density,0.045127851869433425
num__height,0.04220218363428097
num__age,0.04071371261380428
num__glucose,0.0407093203164937
num__glucose_cholesterol_ratio,0.038176108460474464
num__gender_code,0.03367265583752126
cat__activity_cat_moderate,0.03198944335286035
cat__edu_level_cat_high school diploma,0.031168410803657513
num__mean_working,0.030539097714922407
cat__edu_level_cat_bachelors degree,0.028796573980159244
cat__sleep_pattern_cat_normal,0.027437524822006096
cat__activity_cat_intense,0.026213914746288324
cat__activity_cat_light,0.025296158976860716
cat__edu_level_cat_Unknown,0.024756640081933887
cat__sleep_pattern_cat_sleep difficulty,0.024049247356198337
cat__family_medical_history_cat_high blood pressure,0.02292714688021402
cat__edu_level_cat_graduate degree,0.021816242001560994
cat__family_medical_history_cat_Unknown,0.0217349608092178
cat__family_medical_history_cat_diabetes,0.02071150652413397
cat__medical_history_cat_high blood pressure,0.019758754452682683
cat__medical_history_cat_diabetes,0.017921058609054755
cat__smoke_status_cat_ex-smoker,0.017215841692526074
cat__medical_history_cat_heart disease,0.016665341433917544
cat__smoke_status_cat_non-smoker,0.015734315063959264
cat__family_medical_history_cat_heart disease,0.014881164694613971
cat__smoke_status_cat_current-smoker,0.01399708762238295
cat__sleep_pattern_cat_oversleeping,0.012404300404401478
cat__medical_history_cat_Unknown,0.008371110031487114
