y100,count,exp_id
0,26,v8_20260618_102726
1,35,v8_20260618_102726
2,36,v8_20260618_102726
3,30,v8_20260618_102726
4,36,v8_20260618_102726
5,23,v8_20260618_102726
6,26,v8_20260618_102726
7,31,v8_20260618_102726
8,34,v8_20260618_102726
9,29,v8_20260618_102726
10,24,v8_20260618_102726
11,35,v8_20260618_102726
12,44,v8_20260618_102726
13,39,v8_20260618_102726
14,32,v8_20260618_102726
15,35,v8_20260618_102726
16,40,v8_20260618_102726
17,36,v8_20260618_102726
18,33,v8_20260618_102726
19,40,v8_20260618_102726
20,18,v8_20260618_102726
21,37,v8_20260618_102726
22,22,v8_20260618_102726
23,38,v8_20260618_102726
24,25,v8_20260618_102726
25,25,v8_20260618_102726
26,37,v8_20260618_102726
27,31,v8_20260618_102726
28,31,v8_20260618_102726
29,25,v8_20260618_102726
30,29,v8_20260618_102726
31,33,v8_20260618_102726
32,22,v8_20260618_102726
33,34,v8_20260618_102726
34,28,v8_20260618_102726
35,19,v8_20260618_102726
36,34,v8_20260618_102726
37,40,v8_20260618_102726
38,30,v8_20260618_102726
39,30,v8_20260618_102726
40,39,v8_20260618_102726
41,30,v8_20260618_102726
42,27,v8_20260618_102726
43,25,v8_20260618_102726
44,18,v8_20260618_102726
45,32,v8_20260618_102726
46,26,v8_20260618_102726
47,35,v8_20260618_102726
48,34,v8_20260618_102726
49,30,v8_20260618_102726
50,30,v8_20260618_102726
51,22,v8_20260618_102726
52,35,v8_20260618_102726
53,33,v8_20260618_102726
54,43,v8_20260618_102726
55,37,v8_20260618_102726
56,25,v8_20260618_102726
57,21,v8_20260618_102726
58,26,v8_20260618_102726
59,40,v8_20260618_102726
60,33,v8_20260618_102726
61,20,v8_20260618_102726
62,31,v8_20260618_102726
63,27,v8_20260618_102726
64,33,v8_20260618_102726
65,24,v8_20260618_102726
66,19,v8_20260618_102726
67,28,v8_20260618_102726
68,27,v8_20260618_102726
69,25,v8_20260618_102726
70,33,v8_20260618_102726
71,42,v8_20260618_102726
72,35,v8_20260618_102726
73,29,v8_20260618_102726
74,41,v8_20260618_102726
75,33,v8_20260618_102726
76,33,v8_20260618_102726
77,34,v8_20260618_102726
78,28,v8_20260618_102726
79,25,v8_20260618_102726
80,32,v8_20260618_102726
81,25,v8_20260618_102726
82,32,v8_20260618_102726
83,32,v8_20260618_102726
84,23,v8_20260618_102726
85,27,v8_20260618_102726
86,29,v8_20260618_102726
87,17,v8_20260618_102726
88,28,v8_20260618_102726
89,17,v8_20260618_102726
90,28,v8_20260618_102726
91,23,v8_20260618_102726
92,23,v8_20260618_102726
93,19,v8_20260618_102726
94,25,v8_20260618_102726
95,20,v8_20260618_102726
96,33,v8_20260618_102726
97,30,v8_20260618_102726
98,26,v8_20260618_102726
99,34,v8_20260618_102726
100,17,v8_20260618_102726
